municipality,sk_0,hg,dsk,sk_maks
Vefsn,5.0,150,1.0,1000000.0
Vega,2.5,150,1.0,1000000.0
Vestvågøy,4.0,150,1.0,1000000.0
Vevelstad,4.5,150,1.0,1000000.0
Værøy,1.5,150,1.0,1000000.0
Vågan,4.0,150,1.0,1000000.0
Øksnes,4.5,150,1.0,1000000.0
Balsfjord,5.5,150,1.0,1000000.0
Bardu,5.0,150,1.0,8.5
Dyrøy,5.0,150,1.0,1000000.0
Kåfjord,5.0,150,1.0,1000000.0
Gratangen,5.0,150,1.0,1000000.0
Harstad,5.0,150,1.0,1000000.0
Ibestad,5.0,150,1.0,1000000.0
Karlsøy,5.0,150,1.0,1000000.0
Kvæfjord,5.0,150,1.0,1000000.0
Kvænangen,4.5,150,1.0,1000000.0
Lavangen,5.0,150,1.0,1000000.0
Lenvik,6.0,150,1.0,1000000.0
Lyngen,5.0,150,1.0,1000000.0
Målselv,5.0,150,1.0,1000000.0
Nordreisa,5.0,150,1.0,1000000.0
Salangen,5.0,150,1.0,1000000.0
Skjervøy,4.5,150,1.0,1000000.0
Storfjord,5.0,150,1.0,1000000.0
Sørreisa,5.5,150,1.0,1000000.0
Senja,5.0,150,1.0,1000000.0
Tranøy,5.5,150,1.0,1000000.0
Tromsø,6.0,150,1.0,1000000.0
Alta,4.5,150,1.0,1000000.0
Berlevåg,4.0,150,1.0,1000000.0
Båtsfjord,4.0,150,1.0,1000000.0
Deatnu,4.0,150,1.0,1000000.0
Gamvik,4.5,150,1.0,1000000.0
Kautokeino,4.0,450,1.0,8.5
Hammerfest,5.0,150,1.0,1000000.0
Hasvik,5.0,150,1.0,1000000.0
Karasjok,4.0,250,1.0,8.5
Kvalsund,5.0,150,1.0,1000000.0
Lebesby,4.5,150,1.0,1000000.0
Loppa,5.0,150,1.0,1000000.0
Måsøy,5.0,150,1.0,1000000.0
Nordkapp,5.0,150,1.0,1000000.0
Porsanger,4.5,150,1.0,1000000.0
Sør-Varanger,4.0,150,1.0,1000000.0
Nesseby,4.0,150,1.0,1000000.0
Vadsø,4.0,150,1.0,1000000.0
